context_id,category,protected_span_count,protected_tokens,protected_token_fraction,original_tokens,risk_aware_tokens,reduction_percent
factual_passages-02,factual_passages,14,172,0.6825396825396826,252,181,0.28174603174603174
factual_passages-03,factual_passages,12,109,0.436,250,142,0.43200000000000005
meeting_notes-01,meeting_notes,11,72,0.27586206896551724,261,202,0.22605363984674332
meeting_notes-03,meeting_notes,14,112,0.4148148148148148,270,139,0.48518518518518516
mixed_narrative_factual-05,mixed_narrative_factual,10,110,0.44176706827309237,249,218,0.12449799196787148
policies_handbooks-01,policies_handbooks,17,171,0.6895161290322581,248,215,0.13306451612903225
policies_handbooks-02,policies_handbooks,17,180,0.7258064516129032,248,192,0.22580645161290325
policies_handbooks-03,policies_handbooks,17,185,0.7341269841269841,252,200,0.2063492063492064
procedural_instructions-01,procedural_instructions,11,137,0.5018315018315018,273,199,0.2710622710622711
procedural_instructions-02,procedural_instructions,14,103,0.3946360153256705,261,218,0.16475095785440608
procedural_instructions-03,procedural_instructions,12,134,0.5214007782101168,257,210,0.18287937743190663
procedural_instructions-04,procedural_instructions,12,154,0.5923076923076923,260,189,0.2730769230769231
structured_business-02,structured_business,19,87,0.35802469135802467,243,207,0.14814814814814814
structured_business-03,structured_business,17,81,0.3306122448979592,245,207,0.1551020408163265
structured_business-05,structured_business,15,80,0.3292181069958848,243,199,0.18106995884773658
technical_documentation-04,technical_documentation,15,143,0.5478927203065134,261,186,0.28735632183908044
